Name,Sku,Id,CategoryPath,CategoryId,MainProductId,PrimaryImage,AltImage,SeoUrl,SeoTitle,SeoDescription,SeoLanguage,SeoStore,SeoMetaKeywords,SeoImageAlternativeText,Review,ReviewType,IsActive,IsBuyable,TrackInventory,PriceId,SalePrice,ListPrice,PriceMinQuantity,Currency,PriceListId,Quantity,FulfillmentCenterId,PackageType,MaxQuantity,MinQuantity,ProductType
OraVerse,JKL-58040392,,Anesthetics/Anesthesia Reversal,27e01b3b-e6ef-4d6a-a01d-6ca040fd222f,,https://www.scottsdental.com/media/catalog/product/2/2/228-oraverse-box.jpg?quality=80&fit=bounds&height=1000&width=1000&canvas=1000:1000,,oraverse,,,en-US,,,,,,TRUE,TRUE,TRUE,,,89.95,,USD,46ce1a20-30f0-42ca-aec9-8dd75af8fb5f,100,142ba5568ae4454aad553ece41b9c3b5,,,,Physical
Anesthetic Cartridge Dispenser & Warmer,378-1048021,,Anesthetics/Anesthetic Accessories,3b36993c-3366-4b3c-aa2a-091560112f5f,,https://www.scottsdental.com/media/catalog/product/3/7/378-1048021__32200.jpg?quality=80&fit=bounds&height=1000&width=1000&canvas=1000:1000,,anesthetic-cartridge-dispenser-warmer,,,en-US,,,,,,TRUE,TRUE,TRUE,,,89.95,,USD,46ce1a20-30f0-42ca-aec9-8dd75af8fb5f,100,142ba5568ae4454aad553ece41b9c3b5,,,,Physical
Cook-Waite Lidocaine 2%,228-9167,,Anesthetics/Anesthetic Cartridges,67a071c5-865d-409f-b505-1755de37e195,,https://www.scottsdental.com/media/catalog/product/2/2/228-cook-waite-lidocaine100.jpg?quality=80&fit=bounds&height=1000&width=1000&canvas=1000:1000,,cook-waite-lidocaine,,,en-US,,,,,,TRUE,TRUE,TRUE,,,42.95,,USD,46ce1a20-30f0-42ca-aec9-8dd75af8fb5f,100,142ba5568ae4454aad553ece41b9c3b5,,,,Physical
Orabloc,259-2101051,,Anesthetics/Anesthetic Cartridges,67a071c5-865d-409f-b505-1755de37e195,,https://www.scottsdental.com/media/catalog/product/o/r/orabloc_scatoli_300_dpi.jpg?quality=80&fit=bounds&height=1000&width=1000&canvas=1000:1000,,orabloc,,,en-US,,,,,,TRUE,TRUE,TRUE,,,42.95,,USD,46ce1a20-30f0-42ca-aec9-8dd75af8fb5f,100,142ba5568ae4454aad553ece41b9c3b5,,,,Physical
Septocaine Articaine 4%,228-A1400,,Anesthetics/Anesthetic Cartridges,67a071c5-865d-409f-b505-1755de37e195,,https://www.scottsdental.com/media/catalog/product/2/2/228-septocaine100-box-new.jpg?quality=80&fit=bounds&height=1000&width=1000&canvas=1000:1000,,septocaine-articaine,,,en-US,,,,,,TRUE,TRUE,TRUE,,,42.95,,USD,46ce1a20-30f0-42ca-aec9-8dd75af8fb5f,100,142ba5568ae4454aad553ece41b9c3b5,,,,Physical
Lidocaine 2% Scott's Select,258-0996,,Anesthetics/Anesthetic Cartridges,67a071c5-865d-409f-b505-1755de37e195,,https://www.scottsdental.com/media/catalog/product/2/5/258-web04_1.png?quality=80&fit=bounds&height=1000&width=1000&canvas=1000:1000,,lidocaine-2-scott-select,,,en-US,,,,,,TRUE,TRUE,TRUE,,,42.95,,USD,46ce1a20-30f0-42ca-aec9-8dd75af8fb5f,100,142ba5568ae4454aad553ece41b9c3b5,,,,Physical
RA Latch Carbide Burs MaXcut,111-1477,,Burs and Diamonds/Carbide Burs,c7df6574-5081-493a-92f7-e6e86ef26463,,https://www.scottsdental.com/media/catalog/product/1/1/111-maxcut-ra-latch-carbide-burs-100-pack.jpg?quality=80&fit=bounds&height=1000&width=1000&canvas=1000:1000,,RA-Latch-Carbide-Burs-MaXcut,,,en-US,,,,,,TRUE,TRUE,TRUE,,,11.95,,USD,46ce1a20-30f0-42ca-aec9-8dd75af8fb5f,100,142ba5568ae4454aad553ece41b9c3b5,,,,Physical
FG Surgical Carbide Burs,370-14002-5,,Burs and Diamonds/Carbide Burs,c7df6574-5081-493a-92f7-e6e86ef26463,,https://www.scottsdental.com/media/catalog/product/3/7/370-1558_fgsu.jpg?quality=80&fit=bounds&height=1000&width=1000&canvas=1000:1000,,fg-surgical-carbide-burs,,,en-US,,,,,,TRUE,TRUE,TRUE,,,11.95,,USD,46ce1a20-30f0-42ca-aec9-8dd75af8fb5f,100,142ba5568ae4454aad553ece41b9c3b5,,,,Physical
Amalgam Prep FG Carbide Burs,370-15052,,Burs and Diamonds/Carbide Burs,c7df6574-5081-493a-92f7-e6e86ef26463,,https://www.scottsdental.com/media/catalog/product/3/7/370-carbide_bur_fg_amalgam_prep.jpg?quality=80&fit=bounds&height=1000&width=1000&canvas=1000:1000,,Amalgam-Prep-FG-Carbide-Burs,,,en-US,,,,,,TRUE,TRUE,TRUE,,,11.95,,USD,46ce1a20-30f0-42ca-aec9-8dd75af8fb5f,100,142ba5568ae4454aad553ece41b9c3b5,,,,Physical
Fissurotomy Burs,370-18010,,Burs and Diamonds/Carbide Burs,c7df6574-5081-493a-92f7-e6e86ef26463,,https://www.scottsdental.com/media/catalog/product/3/7/370-fissurotomy_10_pack.jpg?quality=80&fit=bounds&height=1000&width=1000&canvas=1000:1000,,fissurotomy-burs,,,en-US,,,,,,TRUE,TRUE,TRUE,,,11.95,,USD,46ce1a20-30f0-42ca-aec9-8dd75af8fb5f,100,142ba5568ae4454aad553ece41b9c3b5,,,,Physical
